,ids,459315910,832878913,96977782,67428224,121376884,285267341,779065594,270778962,623148856,940943812
0,54600918,-10.6039,-10.90167,-10.89119,-10.8977,-10.5726,-10.70114,-10.84412,-10.89495,-10.8447,-10.87813
1,10723258,-9.35279,-10.00183,-11.06563,-11.0685,-10.13529,-11.0566,-11.05853,-11.0385,-11.04604,-11.02379
2,16215736,-9.22019,-8.61504,-9.47066,-9.06239,-9.53388,-9.48413,-9.44674,-9.37667,-9.30184,-9.12154
3,72332,-10.03478,-10.04795,-10.52701,-10.0047,-10.14402,-9.97917,-9.98639,-10.57814,-9.9939,-10.51852
4,45375808_Sofosbuvir,-9.0874,-9.31175,-8.6233,-8.76418,-8.78278,-8.36812,-8.64276,-8.90967,-8.68922,-9.12714
